id,name,geography_id
1,eastern interconnection,1
2,texas interconnection,1
3,western interconnection,1
4,alabama,2
5,alaska,2
6,arizona,2
7,arkansas,2
8,california,2
9,colorado,2
10,connecticut,2
11,delaware,2
12,district of columbia,2
13,florida,2
14,georgia,2
15,hawaii,2
16,idaho,2
17,illinois,2
18,indiana,2
19,iowa,2
20,kansas,2
21,kentucky,2
22,louisiana,2
23,maine,2
24,maryland,2
25,massachusetts,2
26,michigan,2
27,minnesota,2
28,mississippi,2
29,missouri,2
30,montana,2
31,nebraska,2
32,nevada,2
33,new hampshire,2
34,new jersey,2
35,new mexico,2
36,new york,2
37,north carolina,2
38,north dakota,2
39,ohio,2
40,oklahoma,2
41,oregon,2
42,pennsylvania,2
43,puerto rico,2
44,rhode island,2
45,south carolina,2
46,south dakota,2
47,tennessee,2
48,texas,2
49,utah,2
50,vermont,2
51,virginia,2
52,washington,2
53,west virginia,2
54,wisconsin,2
55,wyoming,2
56,new england,3
57,middle atlantic,3
58,east north central,3
59,west north central,3
60,south atlantic,3
61,east south central,3
62,west south central,3
63,mountain,3
64,pacific,3
65,us,4
66,northeast,5
67,midwest,5
68,south,5
69,west,5
71,east,6
72,gulf coast,6
73,mid-continent,6
74,southwest,6
75,rocky mountains,6
76,west coast,6
77,alaska,6
78,PADD 3 (Gulf Coast),7
79,PADD 5 (West Coast),7
80,PADD 4 (Rocky Mountain),7
81,PADD 1 (East Coast),7
82,PADD 2 (Midwest),7
83,SRSO,8
84,SRTV,8
85,AKGD,8
86,AKMS,8
87,AZNM,8
88,NWPP,8
89,RMPA,8
90,CAMX,8
91,SPSO,8
92,SRMV,8
93,NEWE,8
94,NYCW,8
95,RFCE,8
96,SRVC,8
97,FRCC,8
98,HIMS,8
99,HIOA,8
100,MROE,8
101,MROW,8
102,RFCW,8
103,SRMW,8
104,SPNO,8
105,RFCM,8
106,NYUP,8
107,ERCT,8
108,NYLI,8
109,SERC_STV,9
110,MAPP,9
111,WSCC_CNV,9
112,WSCC_NWP,9
113,SPP,9
114,WSCC_RA,9
115,NPCC_NE,9
116,NYPCC_NY,9
117,MAAC,9
118,SERC_FL,9
119,MAIN,9
120,ECAR,9
121,ERCOT,9
122,America/Puerto_Rico,10
